,access_code,date_last_confirmed,expected_date,fuel_type_code,id,open_date,owner_type_code,status_code,station_name,updated_at,facility_type,geocode_status,city,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,hy_is_retail,hy_pressures,hy_standards,hy_status_link,federal_agency,lon,lat
4829,public,2020-12-22,,ELEC,159346,,,E,ELITE,2020-12-22T00:25:38Z,,GPS,Pittsburg,CA,1400 N Park Blvd,94565,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,Free,,"{'posts': ['1:636461'], 'ports': ['1', '2']}",,,,,,-121.8648188,38.0119345
4830,public,2020-12-22,,ELEC,159347,,,E,DC CORRIDOR,2020-12-22T00:25:38Z,,200-8,Smith River,CA,350 N Indian Rd,95567,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"$0.1 per hour, $0.25 per kWh",,"{'posts': ['1:633911', '1:633921'], 'ports': ['1', '2']}",,,,,,-124.202892,41.95671
4831,public,2020-12-22,,ELEC,159348,,,E,DC CORRIDOR,2020-12-22T00:25:38Z,,GPS,Loleta,CA,260 Keisner,95551,US,"['CHADEMO', 'J1772', 'J1772COMBO']",4.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $0.2 per additional hour from 4:00 PM to 9:00 PM, $0.4 per kWh",,"{'posts': ['1:626361', '1:633891', '1:633901'], 'ports': ['1', '2']}",,,,,,-124.2106714,40.6267542
4832,public,2020-12-22,,ELEC,159349,,,E,EVC2HAMILTON,2020-12-22T00:25:38Z,,GPS,Palo Alto,CA,555 Byron St,94301,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.25 per kWh,,"{'posts': ['1:633111'], 'ports': ['1', '2']}",,,,,,-122.1564251,37.4498328
4833,public,2020-12-22,,ELEC,159350,,,E,BW COMMERCE,2020-12-22T00:25:38Z,,GPS,Commerce,CA,7272 Gage Ave,90040,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$1.5 per hour,,"{'posts': ['1:632651'], 'ports': ['1', '2']}",,,,,,-118.126024,33.9747244
4834,public,2020-12-22,,ELEC,159352,,,E,DC CORRIDOR,2020-12-22T00:25:38Z,,200-9,Weed,CA,1844 Shastina Dr,96094,US,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"$0.55 per hour, $0.25 per kWh",,"{'posts': ['1:631401', '1:631521'], 'ports': ['1', '2']}",,,,,,-122.38007,41.399269
4835,public,2020-12-22,,ELEC,159353,,,E,PEARLLAFLORESTA,2020-12-22T00:25:38Z,,GPS,Brea,CA,420 La Crescenta Dr,92823,US,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,$0.31 per kWh,,"{'posts': ['1:629031'], 'ports': ['1']}",,,,,,-117.8498685,33.9101694
4836,public,2020-12-22,,ELEC,159354,,,E,UCSD,2020-12-22T00:25:38Z,,GPS,La Jolla,CA,Osler Parking Structure Osler Lane,92092,US,['J1772'],,,14.0,ChargePoint Network,http://www.chargepoint.com/,,$0.15 per kWh,,"{'posts': ['1:565041', '1:567531', '1:567541', '1:567571', '1:567601', '1:628541', '1:628581'], 'ports': ['1', '2']}",,,,,,-117.2365027,32.8730972
4837,public,2020-12-22,,ELEC,159355,,,E,BEVERLY CENTER,2020-12-22T00:25:38Z,,200-9,Los Angeles,CA,8500 Beverly Blvd,90048,US,['J1772'],,,16.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour for the first 4 hours, and $0.5 per additional hour, $0.5 per kWh",,"{'posts': ['1:626461', '1:627671', '1:627681', '1:627691', '1:627701', '1:627711', '1:627721', '1:627731'], 'ports': ['1', '2']}",,,,,,-118.377494,34.07605
4838,public,2020-12-22,,ELEC,159356,,,E,SAN DIEGO STATE,2020-12-22T00:25:38Z,,GPS,San Diego,CA,Parking Structure 14,92115,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.2 per kWh,,"{'posts': ['1:627651'], 'ports': ['1', '2']}",,,,,,-117.0740225,32.7781151
4839,public,2020-12-22,,ELEC,159357,,,E,ROSEVILLE,2020-12-22T00:25:38Z,,GPS,Roseville,CA,1125 Galleria Cir,95678,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,$0.3 per kWh,,"{'posts': ['1:625921'], 'ports': ['1', '2']}",,,,,,-121.267804,38.7741199
