,access_code,date_last_confirmed,expected_date,fuel_type_code,id,open_date,owner_type_code,status_code,station_name,updated_at,facility_type,geocode_status,city,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,hy_is_retail,hy_pressures,hy_standards,hy_status_link,federal_agency,lon,lat
675,private,2019-02-06,,ELEC,68385,2015-04-01,P,E,Keller Motors,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Hanford,CA,700 W Cadillac Ln,93230,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-119.655306,36.320443
676,private,2019-02-06,,ELEC,68386,2015-04-01,P,E,Steve Chevrolet of Chowchilla,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Chowchilla,CA,1 Auto Park Pl,93610,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-120.248388,37.124793
677,private,2019-03-07,,ELEC,68387,2015-04-01,P,E,Madera Chevrolet,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Madera,CA,1300 Country Club Dr,93638,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-120.074695,36.977703
678,public,2020-08-05,,ELEC,68388,2015-04-01,P,E,Best Western Plus - Yosemite Gateway Inn,2020-08-05T19:05:18Z,HOTEL,200-9,Oakhurst,CA,40530 Highway 41,93644,US,['J1772'],,,2.0,Non-Networked,,,$5 per session for non-guests,,,,,,,,-119.646151,37.335923
679,public,2019-03-07,,ELEC,68390,2015-04-01,P,E,Merced Toyota,2020-12-14T23:43:00Z,CAR_DEALER,200-8,Merced,CA,1400 Auto Center Dr,95340,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-120.501925,37.305111
680,public,2020-08-05,,ELEC,68393,2019-04-30,P,E,Chase Chevrolet,2020-08-05T19:05:18Z,CAR_DEALER,200-9,Stockton,CA,6441 Holman Rd,95212,US,['J1772COMBO'],1.0,,,Non-Networked,,,Free,,,,,,,,-121.271691,38.018189
681,public,2020-08-05,,ELEC,68395,2015-04-01,SG,E,San Joaquin County Office of Education,2020-08-05T19:05:18Z,STATE_GOV,200-9,Stockton,CA,2707 Transworld Dr,95206,US,['J1772'],,,2.0,Non-Networked,,,,SOLAR,,,,,,,-121.2324,37.909462
682,public,2019-03-07,,ELEC,68398,2015-04-01,P,E,American Chevrolet,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Modesto,CA,4742 McHenry Ave,95356,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-120.994273,37.70884
683,public,2019-05-09,,ELEC,68399,2015-04-01,P,E,Modesto Toyota,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Modesto,CA,4513 McHenry Ave,95354,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-120.995483,37.7054
684,private,2019-02-06,,ELEC,68400,2015-04-01,P,E,Steve's Chevrolet Buick,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Oakdale,CA,1285 E F St,95361,US,"['J1772', 'J1772COMBO']",1.0,,2.0,Non-Networked,,,Free,,,,,,,,-120.834766,37.770686
685,private,2019-05-09,,ELEC,68401,2015-04-01,P,E,Thompson Chevrolet Olds Buick,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Patterson,CA,701 2nd St,95363,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-121.123359,37.463831
686,public,2020-07-13,,ELEC,68402,2017-04-01,P,E,California State University - Stanislaus,2020-07-13T20:30:49Z,COLLEGE_CAMPUS,GPS,Turlock,CA,1 University Cir,95382,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-120.860467,37.522473
687,public,2019-05-09,,ELEC,68403,2015-04-01,P,E,Smith Chevrolet Cadillac,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Turlock,CA,1601 Auto Mall Dr,95380,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-120.882066,37.508226
688,public,2019-02-06,,ELEC,68404,2015-04-01,P,E,Monarch Ford,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Exeter,CA,132 N D St,93221,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-119.140309,36.297258
689,private,2019-05-09,,ELEC,68405,2015-04-01,P,E,Merle Stone Chevrolet Cadillac,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Porterville,CA,800 W Henderson,93257,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-119.035353,36.080904
690,public,2019-05-09,,ELEC,68408,2019-01-01,FG,E,Veterans Affairs Outpatient Clinic,2020-01-21T18:34:38Z,HOSPITAL,200-8,Oakhurst,CA,40597 Westlake Dr,93644,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,"{'id': 19, 'code': 'VA', 'name': 'Department of Veterans Affairs'}",-119.669079,37.339096
691,public,2020-08-05,,ELEC,68899,2015-03-01,P,E,Ambrose Hotel,2020-08-05T19:05:18Z,HOTEL,200-9,Santa Monica,CA,1255 20th St,90404,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-118.481495,34.030445
692,public,2020-12-22,,ELEC,69102,,,E,EVSP WALGREENS,2020-12-22T00:25:38Z,,GPS,Redondo Beach,CA,535 S Pacific Coast Hwy,90277,US,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,"Pricing is based on length of time and kWh used. $0 per hour, and $10 per additional hour, $0.42 per kWh",,"{'posts': ['1:3902671'], 'ports': ['1', '2']}",,,,,,-118.3855952,33.8331228
693,public,2020-11-09,,ELEC,69138,2015-05-01,P,E,The Grove,2020-11-09T16:53:32Z,SHOPPING_MALL,GPS,Los Angeles,CA,189 The Grove Dr,90036,US,['J1772'],,,6.0,Non-Networked,,,Free,,,,,,,,-118.358158,34.072939
694,public,2019-09-09,,ELEC,69734,2015-08-01,P,E,Redding Kia,2020-01-21T18:34:38Z,CAR_DEALER,200-9,Redding,CA,418 E Cypress Ave,96002,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-122.364311,40.571392
695,public,2020-12-22,,ELEC,69872,,,E,PLAYHOUSE,2020-12-22T00:25:38Z,,200-9,Pasadena,CA,680 E Colorado Blvd.,91101,US,['J1772'],,,6.0,ChargePoint Network,http://www.chargepoint.com/,,$1 per hour,,"{'posts': ['1:117545', '1:2635091', '1:3393391'], 'ports': ['1', '2']}",,,,,,-118.136483,34.145358
696,public,2019-06-06,,ELEC,69944,2015-02-10,LG,E,City of Woodland - Public Parking,2020-01-21T18:34:38Z,PARKING_LOT,GPS,Woodland,CA,617 Dead Cat Alley,95695,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-121.7727,38.6783
697,public,2019-06-06,,ELEC,69945,2015-02-10,LG,E,City of Woodland - Woodland Public Library,2020-12-06T19:15:35Z,LIBRARY,GPS,Woodland,CA,501 Court St,95695,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-121.7743,38.6792
698,public,2020-08-05,,ELEC,69968,2013-09-01,P,E,Disney's Grand Hotel and Spa,2020-08-05T19:05:18Z,HOTEL,GPS,Anaheim,CA,1600 Disneyland Dr,92802,US,['NEMA520'],,1.0,,Non-Networked,,,Free,,,,,,,,-117.922193,33.807635
699,public,2020-04-08,,ELEC,69970,2014-09-01,LG,E,San Joaquin Valley Air Pollution Control District - Bakersfield Regional Office,2020-04-08T12:29:55Z,MUNI_GOV,GPS,Bakersfield,CA,34946 Flyover Ct,93308,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-119.078333,35.454891
700,private,2020-01-13,,ELEC,69972,2016-09-01,SG,E,California Department of Parks and Recreation,2020-08-13T16:54:41Z,STATE_GOV,200-9,Sacramento,CA,1416 9th St,95814,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-121.497045,38.575965
701,public,2020-09-03,,ELEC,69973,2016-06-29,P,E,Castaic Lake RV Park,2020-09-03T19:35:48Z,RV_PARK,200-8,Castaic,CA,31540 Ridge Route Rd,91384,US,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,,,,,,,,,-118.616811,34.491866
702,private,2019-12-12,,ELEC,69974,2014-09-01,P,E,Joe Carlson Studio,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,Compton,CA,1605 W Mahalo Pl,90220,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-118.243988,33.870986
703,public,2020-12-22,,ELEC,69975,2014-09-01,,E,Coronado Cays,2020-12-22T01:37:43Z,,GPS,Coronado,CA,590 Grand Causeway,92118,US,['J1772'],,,5.0,OpConnect,http://www.opconnect.com/,,,,"{'station': ['118'], 'posts': ['206_1', '206_2', '207_1', '207_2', '216_1']}",,,,,,-117.130306,32.624534
704,public,2020-10-09,,ELEC,69976,2017-05-30,SG,E,Baldwin Hills Overlook State Park,2020-10-09T12:41:43Z,PARK,GPS,Culver City,CA,6300 Hetlzer Rd,90232,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-118.3819691554031,34.01645030179345
705,public,2019-02-06,,ELEC,69978,2019-01-01,SG,E,Greenwood State Beach,2020-12-08T00:07:46Z,PARK,200-9,Elk,CA,5980-6140 Shoreline Hwy,95432,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-123.718758,39.130281
706,private,2019-09-09,,ELEC,69979,2014-09-01,LG,E,City of Elk Grove - Police Department,2020-01-21T18:34:38Z,MUNI_GOV,GPS,Elk Grove,CA,8400 Laguna Palms Way,95758,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-121.394781,38.417314
707,public,2019-09-09,,ELEC,69980,2014-09-01,LG,E,City of Elk Grove - City Hall,2020-01-21T18:34:38Z,MUNI_GOV,GPS,Elk Grove,CA,8401 Laguna Palms Way,95758,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-121.394898,38.41816
708,public,2020-05-06,2020-08-31,ELEC,69981,,LG,P,City of Encinitas - Town Hall Overflow Lot,2020-08-02T19:12:10Z,MUNI_GOV,GPS,Encinitas,CA,505 S Vulcan Ave,92024,US,['CHADEMO'],10.0,,,Non-Networked,,,,,,,,,,,-117.292178,33.045052
709,public,2020-02-06,,ELEC,69983,,P,T,Plaza Oliver Valero,2020-02-06T21:24:11Z,GAS_STATION,GPS,Fairfield,CA,1009 Oliver Rd,94534,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-122.069808,38.251463
710,public,2020-09-03,,ELEC,69986,2016-01-01,P,E,Bayside Business Park,2020-09-03T19:35:48Z,OFFICE_BLDG,GPS,Fremont,CA,46714 Fremont Blvd,94538,US,"['CHADEMO', 'J1772COMBO']",4.0,,,Non-Networked,,,,,,,,,,,-121.944856,37.479817
711,private,2019-11-08,,ELEC,69987,2017-07-24,SG,E,Caltrans - District 6,2020-01-21T18:34:38Z,STATE_GOV,GPS,Fresno,CA,855 M St,93721,US,['J1772'],,,1.0,Non-Networked,,,,SOLAR,,,,,,,-119.826715,36.76084
712,private,2020-04-08,,ELEC,69988,2015-12-01,SG,E,Caltrans - District 6,2020-04-08T12:29:55Z,STATE_GOV,200-9,Fresno,CA,1352 W Olive Ave,93728,US,['J1772'],,,10.0,Non-Networked,,,,,,,,,,,-119.828227,36.757664
713,private,2019-05-09,,ELEC,69989,2015-07-01,LG,E,City of Galt,2020-01-21T18:34:38Z,MUNI_GOV,GPS,Galt,CA,495 Industrial Dr,95632,US,['J1772'],,,3.0,Non-Networked,,,,,,,,,,,-121.305544,38.264827
714,private,2020-12-03,,ELEC,69991,2013-02-27,P,E,University of Southern California - Verdugo Hills Hospital,2020-12-03T22:33:12Z,HOSPITAL,GPS,Glendale,CA,1812 Verdugo Blvd,91208,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-118.216049,34.204535
715,public,2020-07-13,,ELEC,69992,2013-04-09,LG,E,City of Hemet - City Hall,2020-07-13T20:30:49Z,MUNI_GOV,GPS,Hemet,CA,445 E Florida Ave,92543,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-116.967848,33.746962
716,public,2019-02-06,,ELEC,69994,2014-09-01,P,E,Hotel La Jolla,2020-12-06T18:56:05Z,HOTEL,GPS,La Jolla,CA,7955 La Jolla Shores Dr,92037,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-117.253246,32.851276
717,public,2019-02-06,,ELEC,69996,2019-01-01,SG,E,Van Damme State Park,2020-01-21T18:34:38Z,PARK,GPS,Little River,CA,8001 N Highway 1,95456,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-123.768462,39.27641
718,public,2019-02-06,,ELEC,69997,2014-09-01,P,E,Good Samaritan Hospital - Level 1,2020-01-21T18:34:38Z,HOSPITAL,GPS,Los Angeles,CA,1317 Shatto St,90017,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-118.267077,34.055329
719,public,2019-02-06,,ELEC,70006,2014-09-01,P,E,Good Samaritan Hospital - Level 3,2020-01-21T18:34:38Z,HOSPITAL,GPS,Los Angeles,CA,1317 Shatto St,90017,US,['J1772'],,,15.0,Non-Networked,,,,,,,,,,,-118.267077,34.055329
720,private,2020-10-09,,ELEC,70007,2019-03-03,SG,E,Caltrans District 7 - Equipment Shop,2020-10-09T12:41:43Z,STATE_GOV,GPS,Los Angeles,CA,13200 Golden State Rd,91342,US,['J1772'],,,10.0,EV Connect,http://evconnect.com/,,,,,,,,,,-118.4831458,34.3105669
721,private,2019-11-08,,ELEC,70009,2011-12-01,P,E,Cedars - Sinai Medical Center,2020-01-21T18:34:38Z,HOSPITAL,GPS,Los Angeles,CA,139 S George Burns Rd,90048,US,['J1772'],,,16.0,Non-Networked,,,,,,,,,,,-118.381799,34.074538
722,public,2020-09-03,,ELEC,70010,2015-11-01,P,E,Los Angeles Zoo,2020-09-03T19:35:48Z,OTHER_ENTERTAINMENT,GPS,Los Angeles,CA,5333 Zoo Dr,90027,US,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,6.0,Non-Networked,,,Free,,,,,,,,-118.283976,34.148873
723,public,2019-02-06,,ELEC,70011,2015-07-01,P,E,Good Samaritan Hospital - Level 2,2020-01-21T18:34:38Z,HOSPITAL,GPS,Los Angeles,CA,636 Lucas Ave,90017,US,['J1772'],,,3.0,Non-Networked,,,,,,,,,,,-118.264153,34.053453
724,public,2019-02-06,,ELEC,70012,2015-07-01,P,E,Good Samaritan Hospital - Level 3,2020-01-21T18:34:38Z,HOSPITAL,GPS,Los Angeles,CA,636 Lucas Ave,90017,US,['J1772'],,,3.0,Non-Networked,,,,,,,,,,,-118.264153,34.053453
725,public,2019-02-06,,ELEC,70016,2019-01-01,SG,E,Point Cabrillo Light Station State Historic Park,2020-01-21T18:34:38Z,PARK,GPS,Mendocino,CA,13800 Cabrillo Dr,95460,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-123.814654,39.350629
726,public,2020-04-08,,ELEC,70017,2015-07-01,LG,E,San Joaquin Valley Air Pollution Control District - Modesto Regional Office,2020-04-08T12:29:55Z,MUNI_GOV,GPS,Modesto,CA,4800 Enterprise Way,95356,US,['J1772'],,,3.0,Non-Networked,,,Free,,,,,,,,-121.071435,37.70759
727,public,2019-02-06,,ELEC,70021,2019-01-01,SG,E,Hendy Woods State Park,2020-01-21T18:34:38Z,PARK,GPS,Philo,CA,18599 Philo Greenwood Rd,95466,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-123.445009,39.065732
728,private,2020-10-09,,ELEC,70024,2018-12-22,SG,E,Caltrans Batavia Regional Office,2020-10-09T12:41:43Z,STATE_GOV,GPS,Orange,CA,1808 N Batavia Ave,92685,US,['J1772'],,,10.0,EV Connect,http://evconnect.com/,,,,,,,,,,-117.8634,33.817817
729,public,2017-09-06,,ELEC,70056,2019-12-30,LG,E,City of Oxnard - Transportation Center,2020-01-21T18:34:38Z,PARKING_LOT,GPS,Oxnard,CA,255 E Fifth St,93030,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-119.174557,34.197838
730,public,2017-09-06,,ELEC,70057,2019-12-30,LG,E,City of Oxnard - Downtown Parking,2020-01-21T18:34:38Z,PARKING_LOT,GPS,Oxnard,CA,324 S B St,93030,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-119.179146,34.199732
731,private,2019-06-06,,ELEC,70060,2015-07-01,FG,E,Richard H. Chambers United States Courthouse,2020-01-21T18:34:38Z,FED_GOV,200-9,Pasadena,CA,125 S Grand Ave,91105,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,"{'id': 21, 'code': 'GSA', 'name': 'General Services Administration'}",-118.162618,34.145098
732,public,2020-03-03,,ELEC,70064,2015-07-01,LG,E,City of Rancho Cordova - City Hall,2020-03-03T21:13:47Z,MUNI_GOV,GPS,Rancho Cordova,CA,2729 Prospect Park Dr,95670,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,-121.285008,38.589518
733,private,2019-05-09,,ELEC,70065,2015-07-01,LG,E,City of Rancho Cordova - Neighborhood Services Building,2020-01-21T18:34:38Z,MUNI_GOV,GPS,Rancho Cordova,CA,2880 Gold Tailings Ct,95670,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-121.268335,38.598204
734,public,2020-12-03,,ELEC,70066,2013-04-05,P,E,Santa Ana Watershed Project Authority,2020-12-03T22:33:12Z,OFFICE_BLDG,GPS,Riverside,CA,11615 Sterling Ave,92503,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,-117.483229,33.896439
735,private,2019-11-08,,ELEC,70067,2015-07-01,P,E,Kaiser Permanente - Roseville,2020-01-21T18:34:38Z,HOSPITAL,GPS,Roseville,CA,1600 Eureka Rd,95661,US,['J1772'],,,13.0,Non-Networked,,,,,,,,,,,-121.250657,38.747407
736,private,2019-11-08,,ELEC,70069,2015-07-01,SG,E,California Office of State Publishing,2020-08-13T16:46:17Z,STATE_GOV,200-9,West Sacramento,CA,885 Riverside Pkwy,95605,US,['J1772'],,,6.0,Non-Networked,,,,,,,,,,,-121.565487,38.587558
737,public,2019-05-09,,ELEC,70070,2012-07-13,P,E,American River College - Automotive Technology Building,2020-08-13T16:45:41Z,COLLEGE_CAMPUS,GPS,Sacramento,CA,4700 College Oak Dr,95841,US,['J1772'],,,14.0,Non-Networked,,,,,,,,,,,-121.345496,38.65041
738,private,2020-09-03,,ELEC,70071,2013-02-11,LG,E,City of Sacramento - Corporate Yard,2020-09-03T19:35:48Z,MUNI_GOV,GPS,Sacramento,CA,5730 24th St,95822,US,"['J1772', 'NEMA1450']",,6.0,6.0,Non-Networked,,,,,,,,,,,-121.485754,38.519548
739,public,2019-05-09,,ELEC,70072,2012-08-21,P,E,California State University - Sacramento State - Parking Structure 1,2020-12-06T18:16:26Z,COLLEGE_CAMPUS,GPS,Sacramento,CA,6000 J St,95819,US,['J1772'],,,4.0,Non-Networked,,,$1 per 4 hour for first four hours; $10 per hour thereafter,,,,,,,,-121.4269360132752,38.55991966310581
740,public,2019-05-09,,ELEC,70073,2012-08-24,P,E,California State University - Sacramento State - Parking Structure 2,2020-12-06T18:17:06Z,COLLEGE_CAMPUS,GPS,Sacramento,CA,6000 J St,95819,US,['J1772'],,,4.0,Non-Networked,,,$1 per 4 hour for first four hours; $10 per hour thereafter,,,,,,,,-121.420606,38.55997
741,public,2019-05-09,,ELEC,70074,2012-08-01,P,E,California State University - Sacramento State - Lot V,2020-12-06T18:19:03Z,COLLEGE_CAMPUS,200-9,Sacramento,CA,6000 J St,95819,US,['J1772'],,,15.0,Non-Networked,,,$1 per 4 hour for first four hours; $10 per hour thereafter,,,,,,,,-121.425722,38.563944
742,public,2019-05-09,,ELEC,70272,2015-02-01,P,E,Kon Tiki Inn,2020-01-21T18:34:38Z,HOTEL,GPS,Pismo Beach,CA,1621 Price St,93449,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-120.64605,35.1459
743,public,2019-02-06,,ELEC,70358,2015-06-01,P,E,Renaissance Hotel - Long Beach,2020-12-06T18:59:14Z,HOTEL,200-9,Long Beach,CA,111 E Ocean Blvd,90802,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-118.191749,33.767531
744,public,2019-05-09,,ELEC,70401,2015-06-01,P,E,The Cliffs Resort,2020-01-21T18:34:38Z,HOTEL,GPS,Pismo Beach,CA,2757 Shell Beach Rd,93449,US,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,-120.690169,35.164971
745,public,2019-11-08,,ELEC,70561,2011-07-20,LG,E,Sacramento Metro Air Quality Management District,2020-08-13T16:45:57Z,PAY_GARAGE,GPS,Sacramento,CA,777 12th St,95814,US,['J1772'],,,5.0,Non-Networked,,,,,,,,,,,-121.48935,38.582059
746,public,2019-11-08,,ELEC,70565,2014-10-01,LG,E,Port of San Diego - Admin Building,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,San Diego,CA,3165 Pacific Hwy,92101,US,['J1772'],,,1.0,Non-Networked,,,Free,SOLAR,,,,,,,-117.176837,32.735306
747,private,2019-11-08,,ELEC,70566,2014-10-01,LG,E,San Diego County Water Authority,2020-01-21T18:34:38Z,UTILITY,GPS,San Diego,CA,4677 Overland Ave,92123,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-117.131284,32.825391
748,public,2020-03-03,,ELEC,70567,2012-10-01,P,E,Whole Foods Market,2020-03-03T21:13:47Z,GROCERY,GPS,San Diego,CA,711 University Ave,92103,US,['J1772'],,,5.0,Non-Networked,,,Free,,,,,,,,-117.15813,32.747691
749,private,2019-11-08,,ELEC,70568,2015-06-01,P,E,Enterprise Rent-A-Car,2020-01-21T18:34:38Z,RENTAL_CAR_RETURN,GPS,San Diego,CA,7993 Balboa Ave,92111,US,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,-117.150961,32.82141
750,private,2019-11-08,,ELEC,70569,2015-06-01,P,E,Sharp,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,San Diego,CA,8695 Spectrum Center Blvd,92123,US,['J1772'],,,5.0,Non-Networked,,,,,,,,,,,-117.140409,32.82518
751,public,2019-05-09,,ELEC,70573,2015-08-01,LG,E,Water Pollution Control Plant,2020-01-21T18:34:38Z,UTILITY,GPS,San Leandro,CA,3000 Davis St,94577,US,['J1772'],,,1.0,Non-Networked,,1 LP Inductive,$1.50 per hour,,,,,,,,-122.187343,37.716241
752,public,2019-05-09,,ELEC,70575,2013-02-21,P,E,Allen Construction,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,Santa Barbara,CA,201 N Milpas St,93103,US,['J1772'],,,3.0,Non-Networked,,,,,,,,,,,-119.68182,34.423434
753,public,2019-11-08,,ELEC,70584,2015-09-01,P,E,Woodland Joint Unified School District - Zamora Elementary,2020-01-21T18:34:38Z,SCHOOL,GPS,Woodland,CA,1716 Cottonwood St,95695,US,['J1772'],,,2.0,Non-Networked,,,Free,SOLAR,,,,,,,-121.794707,38.658128
754,public,2019-11-08,,ELEC,70585,2015-09-01,P,E,Woodland Joint Unified School District - Plainfield Elementary,2020-01-21T18:34:38Z,SCHOOL,GPS,Woodland,CA,20450 County Rd 97,95695,US,['J1772'],,,2.0,Non-Networked,,,Free,SOLAR,,,,,,,-121.822455,38.642231
755,public,2019-11-08,,ELEC,70586,2015-09-01,P,E,Woodland Joint Unified School District - Woodland High School,2020-01-21T18:34:38Z,SCHOOL,GPS,Woodland,CA,21 N W St,95695,US,['J1772'],,,4.0,Non-Networked,,,Free,SOLAR,,,,,,,-121.786232,38.686897
756,public,2019-11-08,,ELEC,70587,2015-09-01,P,E,Woodland Joint Unified School District - District Office,2020-01-21T18:34:38Z,SCHOOL,GPS,Woodland,CA,435 6th St,95695,US,['J1772'],,,2.0,Non-Networked,,,Free,SOLAR,,,,,,,-121.766289,38.676196
757,public,2019-11-08,,ELEC,70588,2015-09-01,P,E,Woodland Joint Unified School District - Rhoda Maxwell Elementary School,2020-01-21T18:34:38Z,SCHOOL,GPS,Woodland,CA,50 Ashley Ave,95695,US,['J1772'],,,2.0,Non-Networked,,,Free,SOLAR,,,,,,,-121.79905,38.683943
758,public,2019-11-08,,ELEC,70589,2015-09-01,P,E,Woodland Joint Unified School District - Whitehead Elementary,2020-01-21T18:34:38Z,SCHOOL,GPS,Woodland,CA,624 W Southwood Dr,95695,US,['J1772'],,,2.0,Non-Networked,,,Free,SOLAR,,,,,,,-121.794558,38.669819
759,public,2019-11-08,,ELEC,70590,2015-09-01,P,E,Woodland Joint Unified School District - Tafoya Elementary,2020-01-21T18:34:38Z,SCHOOL,GPS,Woodland,CA,720 Homestead Way,95776,US,['J1772'],,,2.0,Non-Networked,,,Free,SOLAR,,,,,,,-121.739798,38.671075
760,public,2019-12-12,,ELEC,70601,2016-01-27,FG,E,Golden Gate National Recreation Area - Fort Mason,2020-08-28T20:19:17Z,NATL_PARK,GPS,San Francisco,CA,1300-1398 Bay St,94123,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,"{'id': 16, 'code': 'DOI', 'name': 'Department of the Interior'}",-122.429484,37.803955
761,private,2019-12-12,,ELEC,70602,2016-01-27,FG,E,Fort Mason,2020-08-28T20:19:17Z,NATL_PARK,GPS,San Francisco,CA,Building 32,94123,US,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,"{'id': 16, 'code': 'DOI', 'name': 'Department of the Interior'}",-122.4310408,37.8067536
762,public,2020-07-13,,ELEC,70603,2016-03-01,FG,E,Golden Gate National Recreation Area - Stinson Beach,2020-07-13T20:30:49Z,NATL_PARK,GPS,Stinson Beach,CA,4900 Shoreline Highway 1,94970,US,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,"{'id': 16, 'code': 'DOI', 'name': 'Department of the Interior'}",-122.639414,37.896506
763,private,2019-05-09,,ELEC,70670,2014-10-01,LG,E,Anaheim Public Works,2020-12-11T22:41:28Z,MUNI_GOV,GPS,Anaheim,CA,955 Melrose Ave,92805,US,['J1772'],,,5.0,Non-Networked,,,,,,,,,,,-117.904768,33.823941
764,public,2019-05-09,,ELEC,70674,2011-10-24,T,E,Tahoe City Public Utility District,2020-01-21T18:34:38Z,UTILITY,GPS,Tahoe City,CA,221 Fairway Dr,96145,US,['J1772'],,,1.0,Non-Networked,,1 LP Inductive,Free,,,,,,,,-120.14823,39.166653
765,private,2019-05-09,,ELEC,70675,2015-06-01,P,E,US Hybrid Headquarters,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,Torrance,CA,445 Maple Ave,90501,US,"['J1772', 'J1772COMBO']",1.0,,3.0,Non-Networked,,,Free,SOLAR,,,,,,,-118.340521,33.844753
766,public,2019-11-08,,ELEC,70863,2016-03-15,SG,E,North Coast Unified Air Quality Management District,2020-01-21T18:34:38Z,STATE_GOV,GPS,Eureka,CA,707 L St,95501,US,['J1772'],,1.0,,Non-Networked,,,,,,,,,,,-124.158692,40.800999
767,public,2020-05-06,,ELEC,70865,2013-10-01,P,E,Quail Hill Shopping Center,2020-05-06T17:56:57Z,SHOPPING_CENTER,GPS,Irvine,CA,6601 Quail Hill Pkwy,92620,US,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,Level 2: $1 per hour; DC fast: $5 per hour,,,,,,,,-117.778087,33.65408
768,private,2020-02-06,,ELEC,70866,,SG,T,Ronald Reagan State Building,2020-02-06T21:24:11Z,STATE_GOV,GPS,Los Angeles,CA,300 S Spring St,90013,US,['J1772'],,,8.0,Non-Networked,,,,,,,,,,,-118.246717,34.049286
769,public,2019-02-06,,ELEC,70871,2015-08-01,P,E,Hamilton Landing Parking,2020-01-21T18:34:38Z,PARKING_LOT,GPS,Novato,CA,3 Hamilton Landing,94949,US,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,-122.514066,38.057367
